,team1,team2,team1_score,team2_score,toss_winner,toss_choice,winner,margin,man_of_the_match,stadium,place
465,Mumbai Indians,Rajasthan Royals,187.0,179.0,Rajasthan Royals,Field,Mumbai,8 runs,Ambati Rayudu,Wankhede Stadium,Mumbai
466,Kolkata Knight Riders,Royal Challengers Bangalore,,115.0,Royal Challengers Bangalore,Field,RCB,7 wickets,Mandeep Singh,M Chinnaswamy Stadium,Bangalore
467,Sunrisers Hyderabad,Chennai Super Kings,192.0,170.0,Chennai Super Kings,Field,Sunrisers,22 runs,David Warner,Rajiv Gandhi International Stadium,Uppal
468,Mumbai Indians,Kings XI Punjab,172.0,149.0,Mumbai Indians,Bat,Mumbai,23 runs,Lendl Simmons,Punjab Cricket Association Stadium,Mohali
469,Rajasthan Royals,Delhi Daredevils,189.0,175.0,Delhi Daredevils,Field,Royals,14 runs,Ajinkya Rahane,Brabourne Stadium,Mumbai
470,Chennai Super Kings,Royal Challengers Bangalore,148.0,124.0,Chennai Super Kings,Bat,Super,24 runs,Suresh Raina,MA Chidambaram Stadium,Chepauk
471,Kolkata Knight Riders,Sunrisers Hyderabad,167.0,132.0,Sunrisers Hyderabad,Field,KKR,35 runs,Umesh Yadav,Eden Gardens,Kolkata
472,Delhi Daredevils,Mumbai Indians,152.0,153.0,Delhi Daredevils,Bat,Mumbai,5 wickets,Harbhajan Singh,Wankhede Stadium,Mumbai
473,Royal Challengers Bangalore,Kings XI Punjab,226.0,88.0,Kings XI Punjab,Field,RCB,138 runs,Chris Gayle,M Chinnaswamy Stadium,Bangalore
474,Sunrisers Hyderabad,Rajasthan Royals,201.0,194.0,Rajasthan Royals,Field,Sunrisers,7 runs,Eoin Morgan,Brabourne Stadium,Mumbai
475,Kolkata Knight Riders,Delhi Daredevils,171.0,158.0,Kolkata Knight Riders,Bat,KKR,13 runs,Piyush Chawla,Eden Gardens,Kolkata
476,Chennai Super Kings,Mumbai Indians,158.0,159.0,Chennai Super Kings,Bat,Mumbai,6 wickets,Hardik Pandya,MA Chidambaram Stadium,Chepauk
477,Kings XI Punjab,Kolkata Knight Riders,183.0,184.0,Kings XI Punjab,Bat,KKR,1 wicket,Andre Russell,Eden Gardens,Kolkata
478,Sunrisers Hyderabad,Delhi Daredevils,163.0,157.0,Sunrisers Hyderabad,Bat,Sunrisers,6 runs,Moises Henriques,Shaheed Veer Narayan Singh International Stadium,Raipur
479,Royal Challengers Bangalore,Mumbai Indians,235.0,196.0,Royal Challengers Bangalore,Bat,RCB,39 runs,AB de Villiers,Wankhede Stadium,Mumbai
