,team1,team2,team1_score,team2_score,toss_winner,toss_choice,winner,margin,man_of_the_match,stadium,place
730,Mumbai Indians,Chennai Super Kings,164.0,156.0,Chennai Super Kings,Field,Mumbai,8 runs,Harbhajan Singh,Wankhede Stadium,Mumbai
731,Delhi Daredevils,Kings XI Punjab,231.0,202.0,Kings XI Punjab,Field,Daredevils,29 runs,David Warner,Feroz Shah Kotla,Delhi
732,Mumbai Indians,Deccan Chargers,172.0,135.0,Deccan Chargers,Field,Mumbai,37 runs,Lasith Malinga,Rajiv Gandhi International Stadium,Uppal
733,Kochi Tuskers Kerala,Rajasthan Royals,109.0,111.0,Rajasthan Royals,Field,Royals,8 wickets,Shane Warne,Sawai Mansingh Stadium,Jaipur
734,Chennai Super Kings,Pune Warriors,142.0,117.0,Pune Warriors,Field,Super,25 runs,Michael Hussey,MA Chidambaram Stadium,Chepauk
735,Delhi Daredevils,Royal Challengers Bangalore,160.0,161.0,Royal Challengers Bangalore,Field,RCB,3 wickets,Virat Kohli,Feroz Shah Kotla,Delhi
736,Pune Warriors,Chennai Super Kings,141.0,145.0,Pune Warriors,Bat,Super,8 wickets,Doug Bollinger,Dr DY Patil Sports Academy,Mumbai
737,Deccan Chargers,Kochi Tuskers Kerala,129.0,74.0,Kochi Tuskers Kerala,Field,Chargers,55 runs,Ishant Sharma,Nehru Stadium,Kochi
738,Kolkata Knight Riders,Delhi Daredevils,148.0,131.0,Delhi Daredevils,Field,KKR,17 runs,Manoj Tiwary,Feroz Shah Kotla,Delhi
739,Mumbai Indians,Rajasthan Royals,94.0,95.0,Rajasthan Royals,Field,Royals,7 wickets,Johan Botha,Sawai Mansingh Stadium,Jaipur
740,Royal Challengers Bangalore,Pune Warriors,181.0,155.0,Pune Warriors,Field,RCB,26 runs,Virat Kohli,M Chinnaswamy Stadium,Bangalore
741,Delhi Daredevils,Kochi Tuskers Kerala,157.0,119.0,Delhi Daredevils,Bat,Daredevils,38 runs,Virender Sehwag,Nehru Stadium,Kochi
742,Kings XI Punjab,Kolkata Knight Riders,119.0,120.0,Kolkata Knight Riders,Field,KKR,8 wickets,Iqbal Abdulla,Eden Gardens,Kolkata
743,Pune Warriors,Rajasthan Royals,143.0,144.0,Rajasthan Royals,Field,Royals,6 wickets,Ross Taylor,Sawai Mansingh Stadium,Jaipur
744,Chennai Super Kings,Deccan Chargers,165.0,146.0,Chennai Super Kings,Bat,Super,19 runs,Albie Morkel,MA Chidambaram Stadium,Chepauk
745,Mumbai Indians,Kings XI Punjab,159.0,136.0,Kings XI Punjab,Field,Mumbai,23 runs,Kieron Pollard,Wankhede Stadium,Mumbai
746,Delhi Daredevils,Kochi Tuskers Kerala,140.0,141.0,Kochi Tuskers Kerala,Field,Kochi,7 wickets,Prasanth Parameswaran,Feroz Shah Kotla,Delhi
747,Kolkata Knight Riders,Deccan Chargers,169.0,149.0,Deccan Chargers,Field,KKR,20 runs,Yusuf Pathan,Rajiv Gandhi International Stadium,Uppal
748,Rajasthan Royals,Chennai Super Kings,147.0,149.0,Rajasthan Royals,Bat,Super,8 wickets,Michael Hussey,MA Chidambaram Stadium,Chepauk
749,Mumbai Indians,Pune Warriors,160.0,139.0,Pune Warriors,Field,Mumbai,21 runs,Rahul Sharma,Dr DY Patil Sports Academy,Mumbai
750,Kochi Tuskers Kerala,Kolkata Knight Riders,156.0,139.0,Kolkata Knight Riders,Field,Kochi,17 runs,Brad Hodge,Nehru Stadium,Kochi
751,Deccan Chargers,Delhi Daredevils,175.0,179.0,Delhi Daredevils,Field,Daredevils,4 wickets,Virender Sehwag,Rajiv Gandhi International Stadium,Uppal
752,Royal Challengers Bangalore,Kings XI Punjab,205.0,120.0,Kings XI Punjab,Field,RCB,85 runs,Chris Gayle,M Chinnaswamy Stadium,Bangalore
753,Chennai Super Kings,Kolkata Knight Riders,114.0,61.0,Chennai Super Kings,Bat,KKR,10 runs,Iqbal Abdulla,Eden Gardens,Kolkata
754,Mumbai Indians,Delhi Daredevils,178.0,146.0,Delhi Daredevils,Field,Mumbai,32 runs,Ambati Rayudu,Wankhede Stadium,Mumbai
755,Kochi Tuskers Kerala,Royal Challengers Bangalore,125.0,128.0,Kochi Tuskers Kerala,Bat,RCB,9 wickets,Chris Gayle,M Chinnaswamy Stadium,Bangalore
756,Kings XI Punjab,Pune Warriors,119.0,120.0,Kings XI Punjab,Bat,Warriors,5 wickets,Rahul Sharma,Punjab Cricket Association Stadium,Mohali
757,Chennai Super Kings,Rajasthan Royals,196.0,133.0,Rajasthan Royals,Field,Super,63 runs,Murali Vijay,Sawai Mansingh Stadium,Jaipur
758,Deccan Chargers,Pune Warriors,136.0,137.0,Deccan Chargers,Bat,Warriors,6 wickets,Mitchell Marsh,Rajiv Gandhi International Stadium,Uppal
759,Kings XI Punjab,Mumbai Indians,163.0,87.0,Mumbai Indians,Field,Kings,76 runs,Bhargav Bhatt,Punjab Cricket Association Stadium,Mohali
760,Rajasthan Royals,Royal Challengers Bangalore,146.0,151.0,Royal Challengers Bangalore,Field,RCB,9 wickets,Sreenath Aravind,Sawai Mansingh Stadium,Jaipur
761,Chennai Super Kings,Delhi Daredevils,176.0,158.0,Chennai Super Kings,Bat,Super,18 runs,MS Dhoni,MA Chidambaram Stadium,Chepauk
762,Kochi Tuskers Kerala,Kings XI Punjab,178.0,181.0,Kings XI Punjab,Field,Kings,6 wickets,Dinesh Karthik,Holkar Cricket Stadium,Indore
763,Kolkata Knight Riders,Royal Challengers Bangalore,,105.0,Royal Challengers Bangalore,Field,RCB,4 wickets,Chris Gayle,M Chinnaswamy Stadium,Bangalore
764,Deccan Chargers,Mumbai Indians,135.0,125.0,Deccan Chargers,Bat,Chargers,10 runs,Amit Mishra,Wankhede Stadium,Mumbai
765,Kings XI Punjab,Delhi Daredevils,170.0,141.0,Delhi Daredevils,Field,Kings,29 runs,Piyush Chawla,Himachal Pradesh Cricket Association Stadium,Dharamsala
766,Rajasthan Royals,Kochi Tuskers Kerala,97.0,98.0,Kochi Tuskers Kerala,Field,Kochi,8 wickets,Brad Hodge,Holkar Cricket Stadium,Indore
767,Pune Warriors,Deccan Chargers,136.0,138.0,Deccan Chargers,Field,Chargers,6 wickets,Amit Mishra,Dr DY Patil Sports Academy,Mumbai
768,Kings XI Punjab,Royal Challengers Bangalore,232.0,121.0,Kings XI Punjab,Bat,Kings,111 runs,Adam Gilchrist,Himachal Pradesh Cricket Association Stadium,Dharamsala
769,Chennai Super Kings,Kochi Tuskers Kerala,152.0,141.0,Chennai Super Kings,Bat,Super,11 runs,Wriddhiman Saha,MA Chidambaram Stadium,Chepauk
770,Pune Warriors,Kolkata Knight Riders,118.0,119.0,Kolkata Knight Riders,Field,KKR,7 wickets,Yusuf Pathan,Dr DY Patil Sports Academy,Mumbai
771,Mumbai Indians,Rajasthan Royals,133.0,134.0,Mumbai Indians,Bat,Royals,10 wickets,Shane Watson,Wankhede Stadium,Mumbai
772,Deccan Chargers,Kings XI Punjab,198.0,116.0,Kings XI Punjab,Field,Chargers,82 runs,Shikhar Dhawan,Himachal Pradesh Cricket Association Stadium,Dharamsala
773,Delhi Daredevils,Pune Warriors,,,5,No Toss,No,No result,5.07 ,PLAYER NAMEOMRWEcon,
774,Chennai Super Kings,Royal Challengers Bangalore,128.0,129.0,Royal Challengers Bangalore,Field,RCB,8 wickets,Chris Gayle,M Chinnaswamy Stadium,Bangalore
775,Kolkata Knight Riders,Mumbai Indians,175.0,178.0,Mumbai Indians,Field,Mumbai,5 wickets,James Franklin,Eden Gardens,Kolkata
776,Royal Challengers Bangalore,Chennai Super Kings,175.0,177.0,Chennai Super Kings,Field,Super,6 wickets,Suresh Raina,Wankhede Stadium,Mumbai
777,Kolkata Knight Riders,Mumbai Indians,147.0,148.0,Mumbai Indians,Field,Mumbai,4 wickets,Munaf Patel,Wankhede Stadium,Mumbai
778,Royal Challengers Bangalore,Mumbai Indians,185.0,142.0,Mumbai Indians,Field,RCB,43 runs,Chris Gayle,MA Chidambaram Stadium,Chepauk
779,Chennai Super Kings,Royal Challengers Bangalore,205.0,147.0,Chennai Super Kings,Bat,Super,58 runs,Murali Vijay,MA Chidambaram Stadium,Chepauk
780,Kolkata Knight Riders,Deccan Chargers,161.0,150.0,Deccan Chargers,Field,KKR,11 runs,Angelo Mathews,Dr DY Patil Sports Academy,Mumbai
781,Mumbai Indians,Rajasthan Royals,212.0,208.0,Mumbai Indians,Bat,Mumbai,4 runs,Yusuf Pathan,Brabourne Stadium,Mumbai
782,Kings XI Punjab,Delhi Daredevils,142.0,146.0,Delhi Daredevils,Field,Daredevils,5 wickets,Gautam Gambhir,Punjab Cricket Association Stadium,Mohali
783,Royal Challengers Bangalore,Kolkata Knight Riders,135.0,136.0,Kolkata Knight Riders,Field,KKR,7 wickets,Manoj Tiwary,Eden Gardens,Kolkata
784,Deccan Chargers,Chennai Super Kings,190.0,159.0,Deccan Chargers,Bat,Chargers,31 runs,Chaminda Vaas,MA Chidambaram Stadium,Chepauk
785,Rajasthan Royals,Delhi Daredevils,141.0,142.0,Delhi Daredevils,Field,Daredevils,6 wickets,Virender Sehwag,Sardar Patel Stadium,Motera
786,Kings XI Punjab,Royal Challengers Bangalore,203.0,204.0,Kings XI Punjab,Bat,RCB,8 wickets,Jacques Kallis,M Chinnaswamy Stadium,Bangalore
787,Chennai Super Kings,Kolkata Knight Riders,164.0,109.0,Chennai Super Kings,Bat,Super,55 runs,MS Dhoni,Eden Gardens,Kolkata
788,Mumbai Indians,Delhi Daredevils,218.0,120.0,Delhi Daredevils,Field,Mumbai,98 runs,Sachin Tendulkar,Feroz Shah Kotla,Delhi
789,Rajasthan Royals,Royal Challengers Bangalore,92.0,93.0,Royal Challengers Bangalore,Field,RCB,10 wickets,Jacques Kallis,M Chinnaswamy Stadium,Bangalore
790,Delhi Daredevils,Chennai Super Kings,185.0,190.0,Delhi Daredevils,Bat,Super,5 wickets,Matthew Hayden,Feroz Shah Kotla,Delhi
791,Deccan Chargers,Kings XI Punjab,170.0,164.0,Kings XI Punjab,Field,Chargers,6 runs,Andrew Symonds,Barabati Stadium,Cuttack
792,Rajasthan Royals,Kolkata Knight Riders,168.0,134.0,Rajasthan Royals,Bat,Royals,34 runs,Abhishek Jhunjhunwala,Sardar Patel Stadium,Motera
793,Mumbai Indians,Royal Challengers Bangalore,151.0,155.0,Mumbai Indians,Bat,RCB,7 wickets,Jacques Kallis,Brabourne Stadium,Mumbai
794,Deccan Chargers,Delhi Daredevils,171.0,161.0,Deccan Chargers,Bat,Chargers,10 runs,Andrew Symonds,Barabati Stadium,Cuttack
795,Kings XI Punjab,Chennai Super Kings,136.0,136.0,Chennai Super Kings,Field,Tied,Tied,Rusty Theron,MA Chidambaram Stadium,Chepauk
796,Kolkata Knight Riders,Mumbai Indians,155.0,156.0,Kolkata Knight Riders,Bat,Mumbai,7 wickets,Sachin Tendulkar,Brabourne Stadium,Mumbai
797,Royal Challengers Bangalore,Chennai Super Kings,171.0,135.0,Chennai Super Kings,Field,RCB,36 runs,Robin Uthappa,M Chinnaswamy Stadium,Bangalore
798,Rajasthan Royals,Kings XI Punjab,183.0,152.0,Kings XI Punjab,Field,Royals,31 runs,Adam Voges,Punjab Cricket Association Stadium,Mohali
799,Delhi Daredevils,Royal Challengers Bangalore,183.0,166.0,Royal Challengers Bangalore,Field,Daredevils,17 runs,Kedar Jadhav,M Chinnaswamy Stadium,Bangalore
800,Chennai Super Kings,Mumbai Indians,180.0,181.0,Mumbai Indians,Field,Mumbai,5 wickets,Sachin Tendulkar,Brabourne Stadium,Mumbai
801,Deccan Chargers,Rajasthan Royals,148.0,151.0,Deccan Chargers,Bat,Royals,8 wickets,Yusuf Pathan,Sardar Patel Stadium,Motera
802,Kolkata Knight Riders,Kings XI Punjab,183.0,144.0,Kolkata Knight Riders,Bat,KKR,39 runs,Manoj Tiwary,Punjab Cricket Association Stadium,Mohali
803,Rajasthan Royals,Chennai Super Kings,177.0,160.0,Rajasthan Royals,Bat,Royals,17 runs,Naman Ojha,Sardar Patel Stadium,Motera
804,Mumbai Indians,Deccan Chargers,172.0,131.0,Deccan Chargers,Field,Mumbai,41 runs,Harbhajan Singh,Dr DY Patil Sports Academy,Mumbai
805,Delhi Daredevils,Kolkata Knight Riders,177.0,137.0,Delhi Daredevils,Bat,Daredevils,40 runs,David Warner,Feroz Shah Kotla,Delhi
806,Kings XI Punjab,Mumbai Indians,163.0,164.0,Mumbai Indians,Field,Mumbai,4 wickets,Lasith Malinga,Brabourne Stadium,Mumbai
807,Royal Challengers Bangalore,Chennai Super Kings,161.0,162.0,Royal Challengers Bangalore,Bat,Super,5 wickets,Murali Vijay,MA Chidambaram Stadium,Chepauk
808,Delhi Daredevils,Rajasthan Royals,188.0,121.0,Delhi Daredevils,Bat,Daredevils,67 runs,Dinesh Karthik,Feroz Shah Kotla,Delhi
809,Kolkata Knight Riders,Deccan Chargers,181.0,157.0,Kolkata Knight Riders,Bat,KKR,24 runs,Sourav Ganguly,Eden Gardens,Kolkata
810,Kings XI Punjab,Royal Challengers Bangalore,181.0,184.0,Kings XI Punjab,Bat,RCB,6 wickets,Kevin Pietersen,Punjab Cricket Association Stadium,Mohali
811,Chennai Super Kings,Rajasthan Royals,246.0,223.0,Chennai Super Kings,Bat,Super,23 runs,Murali Vijay,MA Chidambaram Stadium,Chepauk
812,Mumbai Indians,Deccan Chargers,178.0,115.0,Mumbai Indians,Bat,Mumbai,63 runs,Ambati Rayudu,Brabourne Stadium,Mumbai
813,Kolkata Knight Riders,Kings XI Punjab,200.0,204.0,Kolkata Knight Riders,Bat,Kings,8 wickets,Mahela Jayawardene,Eden Gardens,Kolkata
814,Delhi Daredevils,Royal Challengers Bangalore,184.0,147.0,Delhi Daredevils,Bat,Daredevils,37 runs,Paul Collingwood,Feroz Shah Kotla,Delhi
815,Rajasthan Royals,Deccan Chargers,159.0,157.0,Rajasthan Royals,Bat,Royals,2 runs,Shane Warne,Vidarbha Cricket Association Stadium,Jamtha
816,Chennai Super Kings,Mumbai Indians,165.0,141.0,Chennai Super Kings,Bat,Super,24 runs,Suresh Raina,MA Chidambaram Stadium,Chepauk
817,Kings XI Punjab,Rajasthan Royals,153.0,157.0,Kings XI Punjab,Bat,Royals,9 wickets,Michael Lumb,Sawai Mansingh Stadium,Jaipur
818,Kolkata Knight Riders,Delhi Daredevils,181.0,167.0,Kolkata Knight Riders,Bat,KKR,14 runs,Sourav Ganguly,Eden Gardens,Kolkata
819,Royal Challengers Bangalore,Deccan Chargers,184.0,186.0,Deccan Chargers,Field,Chargers,7 wickets,Tirumalasetti Suman,M Chinnaswamy Stadium,Bangalore
820,Mumbai Indians,Kings XI Punjab,154.0,158.0,Mumbai Indians,Bat,Kings,6 wickets,Kumar Sangakkara,Punjab Cricket Association Stadium,Mohali
821,Chennai Super Kings,Deccan Chargers,138.0,139.0,Chennai Super Kings,Bat,Chargers,6 wickets,Ryan Harris,Vidarbha Cricket Association Stadium,Jamtha
822,Kolkata Knight Riders,Royal Challengers Bangalore,160.0,162.0,Royal Challengers Bangalore,Field,RCB,7 wickets,Vinay Kumar,M Chinnaswamy Stadium,Bangalore
823,Delhi Daredevils,Kings XI Punjab,111.0,112.0,Delhi Daredevils,Bat,Kings,7 wickets,Piyush Chawla,Feroz Shah Kotla,Delhi
824,Mumbai Indians,Rajasthan Royals,174.0,137.0,Rajasthan Royals,Field,Mumbai,37 runs,Sachin Tendulkar,Sawai Mansingh Stadium,Jaipur
825,Deccan Chargers,Royal Challengers Bangalore,151.0,138.0,Royal Challengers Bangalore,Field,Chargers,13 runs,Harmeet Singh,Vidarbha Cricket Association Stadium,Jamtha
826,Mumbai Indians,Delhi Daredevils,183.0,144.0,Mumbai Indians,Bat,Mumbai,39 runs,Kieron Pollard,Brabourne Stadium,Mumbai
827,Kolkata Knight Riders,Chennai Super Kings,139.0,143.0,Kolkata Knight Riders,Bat,Super,9 wickets,Ravichandran Ashwin,MA Chidambaram Stadium,Chepauk
828,Rajasthan Royals,Royal Challengers Bangalore,130.0,132.0,Rajasthan Royals,Bat,RCB,5 wickets,Kevin Pietersen,Sawai Mansingh Stadium,Jaipur
829,Chennai Super Kings,Delhi Daredevils,112.0,113.0,Chennai Super Kings,Bat,Daredevils,6 wickets,Gautam Gambhir,MA Chidambaram Stadium,Chepauk
830,Kings XI Punjab,Deccan Chargers,174.0,178.0,Deccan Chargers,Field,Chargers,5 wickets,Rohit Sharma,Himachal Pradesh Cricket Association Stadium,Dharamsala
831,Mumbai Indians,Royal Challengers Bangalore,191.0,134.0,Royal Challengers Bangalore,Field,Mumbai,57 runs,Ryan McLaren,M Chinnaswamy Stadium,Bangalore
832,Rajasthan Royals,Kolkata Knight Riders,132.0,133.0,Rajasthan Royals,Bat,KKR,8 wickets,Jaydev Unadkat,Eden Gardens,Kolkata
833,Kings XI Punjab,Chennai Super Kings,192.0,195.0,Chennai Super Kings,Field,Super,6 wickets,MS Dhoni,Himachal Pradesh Cricket Association Stadium,Dharamsala
834,Deccan Chargers,Delhi Daredevils,145.0,134.0,Deccan Chargers,Bat,Chargers,11 runs,Andrew Symonds,Feroz Shah Kotla,Delhi
835,Mumbai Indians,Kolkata Knight Riders,133.0,135.0,Mumbai Indians,Bat,KKR,9 wickets,Murali Kartik,Eden Gardens,Kolkata
836,Mumbai Indians,Royal Challengers Bangalore,184.0,149.0,Mumbai Indians,Bat,Mumbai,35 runs,Kieron Pollard,Dr DY Patil Sports Academy,Mumbai
837,Chennai Super Kings,Deccan Chargers,142.0,104.0,Chennai Super Kings,Bat,Super,38 runs,Doug Bollinger,Dr DY Patil Sports Academy,Mumbai
838,Deccan Chargers,Royal Challengers Bangalore,82.0,86.0,Deccan Chargers,Bat,RCB,9 wickets,Anil Kumble,Dr DY Patil Sports Academy,Mumbai
839,Chennai Super Kings,Mumbai Indians,168.0,146.0,Chennai Super Kings,Bat,Super,22 runs,Suresh Raina,Dr DY Patil Sports Academy,Mumbai
840,Mumbai Indians,Chennai Super Kings,165.0,146.0,Chennai Super Kings,Field,Mumbai,19 runs,Sachin Tendulkar,Newlands,Cape Town
841,Royal Challengers Bangalore,Rajasthan Royals,133.0,58.0,Royal Challengers Bangalore,Bat,RCB,75 runs,Rahul Dravid,Newlands,Cape Town
842,Kings XI Punjab,Delhi Daredevils,,58.0,Delhi Daredevils,Field,Daredevils,10 wickets,Daniel Vettori,Newlands,Cape Town
843,Kolkata Knight Riders,Deccan Chargers,101.0,104.0,Kolkata Knight Riders,Bat,Chargers,8 wickets,RP Singh,Newlands,Cape Town
844,Chennai Super Kings,Royal Challengers Bangalore,179.0,87.0,Chennai Super Kings,Bat,Super,92 runs,Muthiah Muralidaran,St George's Park,Port Elizabeth
845,Kings XI Punjab,Kolkata Knight Riders,158.0,79.0,Kolkata Knight Riders,Field,KKR,11 runs,Chris Gayle,Kingsmead,Durban
846,Mumbai Indians,,,,,No Toss,Match,Match abandoned without a ball bowled,,,
847,Deccan Chargers,Royal Challengers Bangalore,184.0,160.0,Deccan Chargers,Bat,Chargers,24 runs,Adam Gilchrist,Newlands,Cape Town
848,Delhi Daredevils,Chennai Super Kings,189.0,180.0,Delhi Daredevils,Bat,Daredevils,9 runs,AB de Villiers,Kingsmead,Durban
849,Rajasthan Royals,Kolkata Knight Riders,150.0,150.0,Kolkata Knight Riders,Field,Tied,Tied,Yusuf Pathan,Newlands,Cape Town
850,Royal Challengers Bangalore,Kings XI Punjab,168.0,173.0,Royal Challengers Bangalore,Bat,Kings,7 wickets,Ravi Bopara,Kingsmead,Durban
851,Deccan Chargers,Mumbai Indians,168.0,156.0,Deccan Chargers,Bat,Chargers,12 runs,Pragyan Ojha,Kingsmead,Durban
852,Chennai Super Kings,,,,,No Toss,Match,Match abandoned without a ball bowled,,,
853,Royal Challengers Bangalore,Delhi Daredevils,149.0,150.0,Royal Challengers Bangalore,Bat,Daredevils,6 wickets,Tillakaratne Dilshan,St George's Park,Port Elizabeth
854,Kings XI Punjab,Rajasthan Royals,139.0,112.0,Kings XI Punjab,Bat,Kings,27 runs,Kumar Sangakkara,Newlands,Cape Town
855,Chennai Super Kings,Deccan Chargers,165.0,169.0,Deccan Chargers,Field,Chargers,6 wickets,Herschelle Gibbs,Kingsmead,Durban
856,Mumbai Indians,Kolkata Knight Riders,187.0,95.0,Mumbai Indians,Bat,Mumbai,92 runs,Sachin Tendulkar,St George's Park,Port Elizabeth
857,Delhi Daredevils,Rajasthan Royals,143.0,147.0,Delhi Daredevils,Bat,Royals,5 wickets,Yusuf Pathan,SuperSport Park,Centurion
858,Kolkata Knight Riders,Royal Challengers Bangalore,139.0,143.0,Kolkata Knight Riders,Bat,RCB,5 wickets,Mark Boucher,Kingsmead,Durban
859,Kings XI Punjab,Mumbai Indians,119.0,116.0,Kings XI Punjab,Bat,Kings,3 runs,Kumar Sangakkara,Kingsmead,Durban
860,Deccan Chargers,Delhi Daredevils,148.0,150.0,Delhi Daredevils,Field,Daredevils,6 wickets,Dirk Nannes,SuperSport Park,Centurion
861,Chennai Super Kings,Rajasthan Royals,164.0,126.0,Rajasthan Royals,Field,Super,38 runs,Suresh Raina,SuperSport Park,Centurion
862,Mumbai Indians,Kolkata Knight Riders,148.0,139.0,Mumbai Indians,Bat,Mumbai,9 runs,Jean-Paul Duminy,Buffalo Park,East London
863,Royal Challengers Bangalore,Kings XI Punjab,145.0,137.0,Royal Challengers Bangalore,Bat,RCB,8 runs,Yuvraj Singh,Kingsmead,Durban
864,Deccan Chargers,Rajasthan Royals,141.0,142.0,Deccan Chargers,Bat,Royals,3 wickets,Yusuf Pathan,St George's Park,Port Elizabeth
865,Chennai Super Kings,Delhi Daredevils,163.0,145.0,Delhi Daredevils,Field,Super,18 runs,Shadab Jakati,New Wanderers Stadium,Johannesburg
866,Kolkata Knight Riders,Kings XI Punjab,153.0,154.0,Kolkata Knight Riders,Bat,Kings,6 wickets,Mahela Jayawardene,St George's Park,Port Elizabeth
867,Mumbai Indians,Royal Challengers Bangalore,149.0,150.0,Mumbai Indians,Bat,RCB,9 wickets,Jacques Kallis,New Wanderers Stadium,Johannesburg
868,Chennai Super Kings,Deccan Chargers,178.0,100.0,Chennai Super Kings,Bat,Super,78 runs,MS Dhoni,Buffalo Park,East London
869,Rajasthan Royals,Kings XI Punjab,211.0,133.0,Kings XI Punjab,Field,Royals,78 runs,Graeme Smith,Kingsmead,Durban
870,Kolkata Knight Riders,Delhi Daredevils,154.0,157.0,Kolkata Knight Riders,Bat,Daredevils,9 wickets,Gautam Gambhir,Kingsmead,Durban
871,Deccan Chargers,Mumbai Indians,145.0,126.0,Deccan Chargers,Bat,Chargers,19 runs,Rohit Sharma,SuperSport Park,Centurion
872,Royal Challengers Bangalore,Rajasthan Royals,105.0,107.0,Rajasthan Royals,Field,Royals,7 wickets,Amit Singh,SuperSport Park,Centurion
873,Chennai Super Kings,Kings XI Punjab,,174.0,Chennai Super Kings,Bat,Super,12 runs,Matthew Hayden,SuperSport Park,Centurion
874,Mumbai Indians,Delhi Daredevils,116.0,118.0,Mumbai Indians,Bat,Daredevils,7 wickets,Ashish Nehra,Buffalo Park,East London
875,Deccan Chargers,Kings XI Punjab,168.0,169.0,Kings XI Punjab,Field,Kings,3 wickets,Mahela Jayawardene,De Beers Diamond Oval,Kimberley
876,Rajasthan Royals,Chennai Super Kings,140.0,141.0,Rajasthan Royals,Bat,Super,7 wickets,S Badrinath,De Beers Diamond Oval,Kimberley
877,Mumbai Indians,Royal Challengers Bangalore,157.0,141.0,Mumbai Indians,Bat,Mumbai,16 runs,Jean-Paul Duminy,St George's Park,Port Elizabeth
878,Kolkata Knight Riders,Delhi Daredevils,123.0,125.0,Delhi Daredevils,Field,Daredevils,7 wickets,Amit Mishra,New Wanderers Stadium,Johannesburg
879,Deccan Chargers,Rajasthan Royals,166.0,113.0,Deccan Chargers,Bat,Chargers,53 runs,Dwayne Smith,De Beers Diamond Oval,Kimberley
880,Kolkata Knight Riders,Royal Challengers Bangalore,173.0,176.0,Royal Challengers Bangalore,Field,RCB,6 wickets,Ross Taylor,SuperSport Park,Centurion
881,Kings XI Punjab,Mumbai Indians,119.0,122.0,Kings XI Punjab,Bat,Mumbai,8 wickets,Harbhajan Singh,SuperSport Park,Centurion
882,Delhi Daredevils,Deccan Chargers,173.0,161.0,Deccan Chargers,Field,Daredevils,12 runs,Rajat Bhatia,Kingsmead,Durban
883,Chennai Super Kings,Royal Challengers Bangalore,129.0,132.0,Chennai Super Kings,Bat,RCB,2 wickets,Ross Taylor,Kingsmead,Durban
884,Rajasthan Royals,Mumbai Indians,145.0,143.0,Rajasthan Royals,Bat,Royals,2 runs,Shane Warne,Kingsmead,Durban
885,Delhi Daredevils,Kings XI Punjab,120.0,123.0,Kings XI Punjab,Field,Kings,6 wickets,Brett Lee,OUTsurance Oval,Bloemfontein
886,Mumbai Indians,Chennai Super Kings,147.0,151.0,Mumbai Indians,Bat,Super,7 wickets,Matthew Hayden,St George's Park,Port Elizabeth
887,Kolkata Knight Riders,Deccan Chargers,160.0,166.0,Deccan Chargers,Field,Chargers,6 wickets,Rohit Sharma,New Wanderers Stadium,Johannesburg
888,Kings XI Punjab,Deccan Chargers,134.0,133.0,Deccan Chargers,Field,Kings,1 run,Yuvraj Singh,New Wanderers Stadium,Johannesburg
889,Delhi Daredevils,Rajasthan Royals,150.0,136.0,Delhi Daredevils,Bat,Daredevils,14 runs,AB de Villiers,OUTsurance Oval,Bloemfontein
890,Chennai Super Kings,Kolkata Knight Riders,188.0,189.0,Chennai Super Kings,Bat,KKR,7 wickets,Brad Hodge,SuperSport Park,Centurion
891,Delhi Daredevils,Royal Challengers Bangalore,134.0,135.0,Delhi Daredevils,Bat,RCB,7 wickets,Jacques Kallis,New Wanderers Stadium,Johannesburg
892,Rajasthan Royals,Kolkata Knight Riders,101.0,102.0,Kolkata Knight Riders,Field,KKR,4 wickets,Laxmi Shukla,Kingsmead,Durban
893,Chennai Super Kings,Kings XI Punjab,116.0,92.0,Chennai Super Kings,Bat,Super,24 runs,Muthiah Muralidaran,Kingsmead,Durban
894,Mumbai Indians,Delhi Daredevils,165.0,166.0,Delhi Daredevils,Field,Daredevils,4 wickets,Virender Sehwag,SuperSport Park,Centurion
895,Royal Challengers Bangalore,Deccan Chargers,170.0,158.0,Royal Challengers Bangalore,Bat,RCB,12 runs,Manish Pandey,SuperSport Park,Centurion
896,Delhi Daredevils,Deccan Chargers,153.0,154.0,Deccan Chargers,Field,Chargers,6 wickets,Adam Gilchrist,SuperSport Park,Centurion
897,Chennai Super Kings,Royal Challengers Bangalore,146.0,149.0,Royal Challengers Bangalore,Field,RCB,6 wickets,Manish Pandey,New Wanderers Stadium,Johannesburg
898,Deccan Chargers,Royal Challengers Bangalore,143.0,137.0,Royal Challengers Bangalore,Field,Chargers,6 runs,Anil Kumble,New Wanderers Stadium,Johannesburg
899,Kolkata Knight Riders,Royal Challengers Bangalore,222.0,82.0,Royal Challengers Bangalore,Field,KKR,140 runs,Brendon McCullum,M Chinnaswamy Stadium,Bangalore
900,Chennai Super Kings,Kings XI Punjab,240.0,207.0,Chennai Super Kings,Bat,Super,33 runs,Michael Hussey,Punjab Cricket Association Stadium,Mohali
901,Rajasthan Royals,Delhi Daredevils,129.0,132.0,Rajasthan Royals,Bat,Daredevils,9 wickets,Farveez Maharoof,Feroz Shah Kotla,Delhi
902,Deccan Chargers,Kolkata Knight Riders,110.0,112.0,Deccan Chargers,Bat,KKR,5 wickets,David Hussey,Eden Gardens,Kolkata
903,Mumbai Indians,Royal Challengers Bangalore,165.0,166.0,Mumbai Indians,Bat,RCB,5 wickets,Mark Boucher,Wankhede Stadium,Mumbai
